Parameter,Fmax,beta,power,beta,power,beta,power,beta,power,beta,beta,power,beta,power,beta,power,beta
Control,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Variable,,pr_mean.nc,pr_mean.nc,tas_max.nc,tas_max.nc,Tree_cover_vcf.nc,Tree_cover_vcf.nc,vpd_mean.nc,vpd_mean.nc,beta0,Tree_cover_vcf.nc,Tree_cover_vcf.nc,Total_cover_vcf.nc,Total_cover_vcf.nc,cveg.nc,cveg.nc,beta0
19,31.646045740532614,-112.09612540040281,0.8450078370865755,40.13217645557895,1.0687203769501328,-0.5965930739858928,1.3130911604354598,5.0572798470043345,0.3467799777844937,31.646045740532614,16.849786524639676,0.049465138202173374,70.74377681640564,0.4677846652691001,0.8806825981954156,0.17838998979083573,0.19964551818302517
20,30.510430909045564,-112.64309116620005,0.4025688413651502,40.13934900590232,1.3039881115496321,-0.683706199783552,0.9539921846226629,5.095802195707267,0.3080617795548799,30.510430909045564,17.351784094212363,0.0854858506306344,53.345113145638045,0.3991289153949706,1.5693293076924055,0.1512798560195926,-0.11249158006878587
21,28.913288278849407,-118.11601800280133,0.30989941081132183,41.987419075082556,1.5941161410370437,-0.9873897128562965,1.21993936809823,4.376532372076476,5.353909779934196,28.913288278849407,20.135471769953195,6.3868214138041965,47.2704769201168,4.114881380746304,1.1306164330857524,7.81810053439079,0.1081405184931994
22,26.10166393897057,-116.37711586934651,0.3439307091444413,42.23854212874866,0.9433740744649123,-1.0906620116144492,0.9563165204675579,4.1779014275938735,2.799993388335239,26.10166393897057,22.458221033201156,14.874502602674237,48.284679613289484,5.342367934568359,1.3077300370902336,4.398362007227308,-0.9438628353590137
23,28.249129104352697,-116.9763309570667,0.8422840314361741,42.35017514083214,0.23121698340921823,-0.981444052387243,2.051430737295067,4.083563993335488,5.422273366350691,28.249129104352697,19.562800268050836,1.8621857465064433,60.38066559830944,0.9832468601826236,4.106424931348772,1.946783255944744,1.0732114268518846
24,27.27477064958508,-116.1049678835226,0.8307972900278494,41.807500335054165,0.22872899943566552,-1.0958015813736075,0.2082781724835648,4.407463622399552,1.195520820703509,27.27477064958508,17.197743795181193,4.7333681729686745,59.52801578867371,0.7234151007250856,3.2882084959572286,0.10664597973563479,-0.4299080188466879
25,27.548605982537072,-117.46049844087204,0.3873793215777467,43.545566440965246,0.06201653764483509,-1.8079739558568384,0.27428230686748084,3.642935443365231,0.6323975998662957,27.548605982537072,19.161198093161524,2.688897980797931,59.77456094244313,1.6586752797492572,0.5053779944786598,0.4420434378497863,-0.8724494450475933
26,29.93486068063722,-111.53267890395557,2.1705072599586352,39.22532735524309,5.824742382518174,-0.7504177999929524,2.3807266165285976,5.6016816714156255,1.7843757207414677,29.93486068063722,34.06330570533086,0.4134333116960239,41.44036472767058,0.3931168041443202,0.5540693365311783,8.770069799653154,0.05197132177245398
27,30.289773093538926,-112.89907596446889,6.708474919519893,40.65144444819632,1.7589165562800482,-1.800360418102804,0.4065933247608659,5.122888559984545,0.2779134032038149,30.289773093538926,32.83373811169405,0.7798856733170104,42.72670674831178,0.1867140134869014,1.850578731579385,5.982657931293712,-1.389965498620173
28,27.430634047515838,-113.88661206126262,1.210963061407529,41.09665003371772,2.5572505441270645,-0.8957403215233818,1.190436689101807,4.682311384753741,0.38725512707475446,27.430634047515838,26.780012615710568,0.3426036704717707,39.53073298179661,0.37637809958962787,11.178777455855828,4.221385403721669,-0.1608512314579357
29,27.158765694573383,-116.75141589639826,2.4539787286909918,41.657317903557626,0.9722899724042773,-1.873811235262857,1.1992554112815328,4.6398047984148745,0.1327073760559626,27.158765694573383,26.39795210375526,0.3476021787827425,35.905695782888664,0.5898161848084365,0.09617211005870703,1.527597668675174,0.07411113045714922
30,26.65271725541964,-118.38436473918074,2.0597115013527145,44.3112233170388,1.537331220065974,-1.190196380841755,0.37649379426112917,3.01923450484854,0.6755421368618341,26.65271725541964,24.948763611954654,0.50250020879809,32.80021252511139,0.5412666770395382,6.321381984422076,1.7288692730170692,0.938566629862452
31,28.297853803709728,-121.15670731101835,1.687706292472158,43.8672682591895,4.148763330427663,-0.9794925306491477,0.7901294059274685,3.078106939683088,0.33126055367103824,28.297853803709728,17.30927823458106,1.0062652865567001,57.661698112633665,1.1787164273941224,0.19517357260775492,0.7297223947261848,0.854852488009666
32,26.429927060737434,-120.84317610799405,2.680056494904031,45.69222229030877,1.2230092342651044,-1.5243258235180157,1.388516627587897,2.497149065134085,0.19695771341245266,26.429927060737434,17.901680692282667,0.2628878663350282,78.7037018551659,0.643490333691844,0.5351308849513614,4.898955454130109,0.2323405058220185
33,28.609200407792166,-121.20051401069145,1.842837959138314,44.076566475503846,0.7335876192511811,-1.2375479660043727,1.0348578131505834,3.267295148541049,0.7693036800163573,28.609200407792166,16.995419854396925,0.5359532151058651,67.2407527790317,1.4319841121380876,0.2668117631505214,0.533021931803343,-0.18938560431343843
34,26.66332358017234,-111.03781479445006,0.7317841003894032,40.35867699795402,1.0614765564708148,-1.1332056734844274,0.8155902857102552,5.178881324457126,1.305061367347474,26.66332358017234,16.649465962681706,2.005087854414263,63.49602941935873,0.5815668603902777,0.15195960498574373,0.872050570669135,-0.44495047626135475
35,27.45024064958165,-116.50949651836655,0.25945227617180583,40.57313708757619,0.6090926229994771,-0.71379719397938,0.8124140161744479,5.141531783101206,1.0979474412605084,27.45024064958165,20.46284117589922,3.760757931235624,43.82147484564183,0.769250459412068,1.8222358203237081,0.4124646535536166,-0.19577666431182986
36,27.542427207743376,-117.51552958650238,0.6655751642279173,43.91597019383414,0.9178575142922294,-1.972245248954925,1.606901720539892,3.505523324921055,0.605126287620971,27.542427207743376,16.907079288712794,0.9673087729220528,100.91847970148216,0.6663424619134225,0.596392945705181,0.8989012284086402,-2.1885080402381494
37,31.79846964322257,-121.23209968804596,0.8764051501427037,43.91195747866291,0.87942196186635,-0.9461692827005312,0.926536602920757,3.206782322400853,1.1660327694615136,31.79846964322257,14.986076671286213,1.0430835838254735,76.33886250952291,1.2696007804328107,3.769386178822267,1.4915125551639543,-1.1807494406797912
38,28.26731490800126,-119.0036989699949,0.679684601581307,43.93224569782904,0.5806741924144672,-1.0910271844498196,0.09499615458562895,3.134145867981485,1.7565989900038608,28.26731490800126,14.99715241728915,1.6108599869340783,107.28229331051058,1.0329046164187203,3.1086085968686903,5.237529055357573,0.25343628609746705
39,26.15738162634247,-116.77849274300667,0.8081757060765133,42.73150851035607,17.98800701365312,-1.3909295154213048,0.12454654604054356,4.024601397541339,0.44500291017313964,26.15738162634247,20.30476961011483,0.15848381963606226,43.03069725194707,0.44829325428903155,0.7555621221524016,0.2913174605414081,1.046199123997902
40,29.55167451850723,-121.46415583007807,0.7710369711242206,43.525019135184884,0.7869032527316164,-0.9462278442874689,2.2464374537547207,3.3560768926070974,0.4955234045656281,29.55167451850723,34.17601100949706,2.3695482084881934,31.14109932036256,0.13596038146821007,1.5725374204814384,1.1802863611989953,-1.9689179738932898
41,31.724857301225793,-116.23463663804652,0.9465564497228929,42.814393049534324,0.9699048896043769,-1.2717472851297955,0.5762060513701605,3.924184390750846,0.3742956849055905,31.724857301225793,16.48472120390323,0.6164544319334302,28.32969765664721,0.34685279356000737,16.216775807967853,2.8209178817739984,-0.046123954366781364
42,27.385613939559207,-122.78538363184842,1.1755242377141177,44.837927813608076,1.2186200939112877,-1.3065483356857108,1.9313707018214492,3.06511503093152,2.7771490505790597,27.385613939559207,0.8852767160858499,1.6780582241547801,31.305700906162215,3.1382176450286985,55.449909213183304,0.925542063571117,0.30963867424059716
43,28.421211225106802,-119.09793515619889,1.6611569099195642,43.632597774416034,1.3688052022453099,-1.3426129395376727,3.968685499778567,3.4521151685147835,0.6279015104693292,28.421211225106802,0.740028897245255,2.6324867214543466,31.62375567822726,3.9905664092109023,58.340878165183575,0.3140408829766403,1.0419251467765624
44,27.57744235452927,-113.22288112659831,6.267801437721852,40.743894350682744,0.314476796924725,-0.989996903118059,2.4450857568869906,4.7844870992224555,1.2958180935878814,27.57744235452927,11.319596460214273,1.2298062856722463,28.356105964220433,0.49580993580428756,40.37916148575015,1.4406951431114858,-0.8759820619108017
45,26.307232928196377,-114.11148751181814,14.078396475406901,41.167996017587335,1.0284834847143676,-1.9524256637016626,2.323598410797394,4.850250593490229,0.5594017513601521,26.307232928196377,7.1272920839355525,0.7356660823568097,31.25761174097615,0.7687630639753638,32.48561193618418,2.467634094362611,-0.18989226164228626
46,29.783932077373482,-118.61339970206815,2.891719321712701,43.03214570425823,2.120352197166962,-0.5036582410036465,2.0692254354490625,3.395990953689451,2.741352782379814,29.783932077373482,31.817041889617474,0.988459913659857,26.23884203816215,2.66134058774708,7.952009525474563,1.5290015215808017,-0.12022724358768318
47,30.038546676911164,-117.42507203780097,2.6325820326651663,43.14390241717981,3.3835189179225065,-0.3705320070101622,2.061442557347511,3.374495353133721,1.5257790195897813,30.038546676911164,23.692694612351048,1.107794345141739,30.00099463934673,3.3905705992855144,10.719494503019824,0.7172476295783294,-0.5217316127620165
48,32.36950265406491,-123.9442996451466,2.330438728319386,44.53799255610417,1.0822822133625192,-0.3668843929184374,1.390613199757232,2.774407788094492,1.687556866366842,32.36950265406491,42.72580183563456,0.7102205581846466,28.83436211030563,1.040175697365954,0.8588818796056863,1.168592151230058,-0.6342241128400263
49,26.452276636732645,-112.73703482959061,0.39796912167120246,39.11035508688346,0.8168589352356094,-0.25519325437783,0.6237862742499128,5.680274482812943,0.6497226785338875,26.452276636732645,19.385337624308516,1.317842350858779,53.857564642630784,1.1447817431436866,0.7349771278601667,1.3575028045151467,0.906303005270485
50,27.9209322338441,-111.05847618666135,0.2213312129920062,39.305992375360866,1.2548107591145488,-0.22493104000047998,0.5817226941638441,5.289174520853456,1.009462648796344,27.9209322338441,21.563265752800095,1.1182721472429502,47.201476012487575,0.8859094983582749,0.47133124071807553,0.6531293657911251,1.3450379016396088
51,26.9176830960933,-120.21306374976713,3.6705387437539834,42.83070700883897,0.05786487579654915,-0.3210458987404685,0.347538522249729,3.604563716567439,0.45296753213219654,26.9176830960933,17.917556774703225,1.1451214171740212,87.59243550769425,1.1242800887357653,0.38080882158295765,0.2875995838870058,-0.8552942659777011
52,29.29877252934241,-115.44336612739195,1.0200199837968125,41.8174372048462,1.8887423551022184,-0.9989468245663415,1.2118615416060567,4.444540295909447,4.034884349811438,29.29877252934241,28.704265527337952,0.8378037861323279,27.769517022564916,2.516535784701596,1.8405105984562333,1.735400128971954,-0.8983093412549777
53,28.515859899390392,-123.16235805500254,0.637122042592697,45.4411588818548,0.5201095468350256,-0.8573491960597781,0.38184248593465653,2.360898658934391,0.3312348551919758,28.515859899390392,57.726392048420095,2.6638693771182567,42.63210697176995,0.5057066569474531,0.9852097761030901,1.1542942874623263,1.195427517998648
54,28.141779983080465,-124.10309810602321,0.4367445598692314,44.92731624157054,0.3706669170635295,-1.1876242022140167,0.3315612720362677,2.506939799252695,0.2989767750750925,28.141779983080465,52.79580008596313,3.833869046346206,40.434067339840475,0.4470127164417466,0.6335637118082668,1.1926241288283206,1.350522647193765
55,29.201345180949843,-118.31938110073042,1.6769739798849852,43.8729226648719,2.105995633708882,-1.0000302946454078,2.296824341900713,3.3064730822062263,1.7866586373538313,29.201345180949843,33.499891769132134,0.19031192242076567,46.42136873842128,2.3798340059774117,9.974575518675659,0.7086731937140146,-1.3728690215235049
56,30.662733741790472,-110.95803780514528,0.3960889333855982,39.929079860960336,0.5266364504251391,-1.2395549046052499,0.4677011424223918,5.108004640751664,0.7195864261138131,30.662733741790472,31.584515062111777,6.2348702118468875,40.510285414325246,0.3892538978004488,5.516200771197657,0.9084914386163606,1.3897450877886353
57,28.309583332441953,-116.94637565684076,2.8780013472897394,41.522078011152274,2.096390475325353,-1.065120065918995,2.177033005466159,4.752413087080339,1.1708733421235877,28.309583332441953,20.811927136732844,0.5780831257496492,63.22667809521025,4.688446825192976,0.26438480326945873,1.4217756510773143,-1.4430981587949616
58,26.74267533676398,-113.63956701583217,0.4136564361251635,41.63469034816422,0.5438430623870889,-1.4390714599509449,0.3470991000079044,4.303264246021565,0.861219354652424,26.74267533676398,48.056695199588056,1.6947024889237434,28.256962391562606,0.24527672686684737,0.7960835436721019,0.505904166243153,0.4386418084760958
59,28.809722426328825,-113.58864532095556,4.497659176120317,41.67664688047204,1.103790614419613,-0.5621354473162002,1.1407297996190555,4.257988407122058,1.2874023473241039,28.809722426328825,15.431289483359459,0.3303532710357081,78.448641552751,1.9665188975740886,1.3123249315620689,1.5165600154328114,-0.07508585324388818
60,28.597988183989525,-113.97514171069584,2.1294559739098373,41.12330969560252,0.8546140547122443,-0.46134171550925807,1.7518255438481978,4.253660365402105,1.2596896844469672,28.597988183989525,20.281029447820345,0.48929580879626755,85.40770124351373,2.685840297335041,1.5045118306059302,1.4271668815083016,0.07795150352149635
61,27.77585702098613,-120.94761607499704,0.41302872645741395,44.023620874262406,6.23478471483503,-0.5571507279632025,0.5026469918707184,2.8157856990431758,0.14737064079696305,27.77585702098613,21.452669567737058,0.46169003663014424,61.23105731620582,2.2261379225689804,0.9159768136842199,0.7238700731451451,0.06335324455823413
62,27.06561248210455,-121.81252748218813,0.49489067059073016,43.862497563587155,13.791448920468337,-0.4482385650636644,0.2786173157917473,3.0695675067337462,0.2553151121362133,27.06561248210455,15.863446904551793,0.5419936601038796,75.32195289805749,1.3576057910257415,2.7538843741436767,0.28009096222600655,-0.932538163382038
63,27.43835753000875,-119.6623180228488,2.133178620784791,43.93702685001798,0.9352756615766076,-0.8322193744086126,0.7646140812120882,3.1449852545439603,0.3190751236082116,27.43835753000875,19.771633836599875,0.7831999076387806,41.711655536786964,4.549257836711543,0.18064115877477496,1.3983686393340995,-1.9436692940383933
64,28.27764444168456,-114.35648068822773,0.5431222854989821,39.76881157634862,0.6697717937151696,-0.22908420837591068,1.7299632404211545,5.2929586509541275,3.0602901168977206,28.27764444168456,3.651178757549834,1.236789079288609,86.43345866456683,0.313079150166453,19.210108340945933,0.513210209886471,0.8574379936277643
65,27.35502626170567,-108.29848437496878,0.08889334726369237,37.329651510675575,0.4257592887149862,-0.450905096170488,0.42986219188609237,6.691271270349281,2.82273684050998,27.35502626170567,4.556359338369268,0.2644246069893821,88.53165940732136,1.2271583306075446,19.12087602564003,0.9819066573055905,0.27135327615949645
66,28.634443603625996,-120.16956856144884,8.214614801257898,45.00024261019566,2.339207165009212,-1.9850982197887812,2.296585583744414,2.9393326077275304,0.4722950568404138,28.634443603625996,18.15054660648666,5.4076111345737345,55.45442707782644,0.5662026380625045,0.12639943101759496,1.1527573953317751,-0.1290371389260315
67,28.39985684928315,-117.49197627779625,0.36679836163532065,42.612068655570276,0.3853779995861629,-0.6420320617968794,0.4259467359946823,3.660759283298147,2.160401921536309,28.39985684928315,0.11817020707638615,0.3077191783184786,71.05326674045388,1.7362946396305459,27.473054305395763,0.8965677157321552,0.3500227327888437
68,27.27593134514217,-118.24931011636468,0.716575268185807,43.709300226488764,0.05815225245038374,-1.5114092136527548,2.8865579144550733,3.550855130228224,1.4101122937850246,27.27593134514217,4.38428498657782,0.6853835666941063,67.21684999626473,1.0818582324818784,19.556679500339573,0.39559964027650735,-0.7111283537782107
69,27.764119036466873,-115.50976038102337,4.004551080231336,42.01282071257727,15.637660377892553,-0.8735237222895348,0.4550214928064555,4.304448312790486,0.8280826155477395,27.764119036466873,0.6462746126247844,1.1068021473954888,78.73731024291024,1.5706295325141237,24.28887741132342,2.606679531413828,0.7476647533845624
70,27.694366006546502,-120.66056837408726,0.47893314300949696,43.393920925349676,0.11695953387676791,-1.3958602528873774,1.594814785199457,3.6743321112090928,0.28077114137515263,27.694366006546502,1.9052388407373124,0.7943994961758917,91.13697575504523,0.2858571483381919,20.906852454512617,0.3685846047672924,-0.7992848017645002
71,34.627136965081185,-114.04309860882907,1.4710709955702435,40.4122459467944,8.248832326542615,-1.0370737997039738,0.6247514369583975,5.135074662338579,3.4036437907428554,34.627136965081185,26.00020437625096,1.3886697995476782,32.2497776198306,2.2755162967626354,0.3003298127194282,2.2303347480668143,0.6978600758740816
72,35.55690936415698,-113.0353122667899,2.1527524772388142,40.36533754104201,8.117253255723524,-0.8730145222730493,0.3254210688269478,5.0445425262218295,6.596702903412344,35.55690936415698,16.663849759579932,1.0815207596234313,96.15840113056734,0.2205424993998488,2.2186009066789163,2.1089378282184303,0.10527020459082324
73,32.911258365292525,-110.17129032444637,0.9327956491556068,39.12118678679164,4.69043815145349,-1.1382643008215736,0.2950323470027186,5.81174485977357,1.646374886865872,32.911258365292525,17.539605911336512,0.6099637309224013,49.231146815245125,0.12894948297172196,0.7284023758932576,2.1062430776533,0.041667991447315283
74,29.57900113121151,-113.82074345876339,1.8322482947167242,40.426814893035115,0.28061931099177034,-0.48541312715133267,3.3207447707727913,4.916251040358892,0.10986500581523487,29.57900113121151,16.761300765007494,2.7932736623767975,64.4753146529599,1.5959390987971798,0.6326104056533144,0.46748311283473365,0.005624323178250307
75,25.519712053598585,-114.71929460570857,0.7968790894537804,40.83774027898773,0.8163465446620803,-1.2984098508065125,0.5228292025366533,5.013088172815635,0.2633456612454805,25.519712053598585,22.494206156074068,0.5914315796114314,39.65967322032783,1.0446447654250124,2.373985667913484,3.708394937077977,0.07157114448637987
76,32.12762944383841,-121.60087911288684,1.2660006122015974,44.93151004506546,1.0923079974760996,-1.4504547790051043,1.9055187068896358,2.7566538499951143,4.45762773404,32.12762944383841,15.901364672964556,0.4322302707566599,106.48518551639775,0.8421989614852115,2.4759121409836102,0.2562770639097269,0.007736782327831073
77,28.787272285546074,-116.85510953720953,0.12239818172786884,42.551168347905865,0.7128623615162942,-0.8544443486130175,0.7546676381389333,3.8154518083985436,0.0912414925106611,28.787272285546074,29.614011343568535,2.306308534284436,29.18424048515197,0.5329531225807368,0.4227029317126519,3.841628923054975,-0.35441663361641274
78,31.869062683973855,-116.32444013203843,0.3071657114956108,41.32902100078856,1.112531989875495,-0.5386512226674002,1.7663105868742917,4.694808666017065,0.237192143379971,31.869062683973855,15.352386430388078,0.6131552514666304,171.70918871561042,0.9879206093801207,3.853206424451097,0.856496653420151,1.6341980396375448
79,29.73688571748251,-116.2070294851506,12.40242807989861,41.94980033551558,1.844669746905351,-0.30235335199581953,1.1339078559462459,3.6467685873509224,3.8223648807674993,29.73688571748251,15.334295981481382,0.45850332609297945,74.93677685566863,3.49940656936358,3.4239560097778163,2.7687645789237,-0.5048366740723874
80,29.903231620650377,-115.32234309990498,0.07668758983545843,42.30829470026312,0.631602125592982,-2.0641014882808153,0.9640763563402941,4.391557181772308,0.4982888113561748,29.903231620650377,23.570371503609305,2.0094375300691008,37.29880918489434,0.4318086370911286,2.7001582855005166,7.420631803183881,-0.9124574360198582
81,25.570384291154568,-115.70058075993674,0.19259372053603716,41.01826104905945,0.07754674044035477,-0.6739738805265446,0.9971525468189733,4.84947809275632,0.7769265619827803,25.570384291154568,44.66489174083985,1.6065079978289027,29.135440747523187,2.5395527427424023,2.7207862580486615,0.3394320059124196,-1.0858276706987116
82,34.6136197901429,-113.30091717312635,5.332428408044841,39.550909885242525,1.3891721425173011,-0.9540792764202074,0.5791988207261363,5.561613774060014,0.43319846734195055,34.6136197901429,23.790867041740192,0.9855351022206472,32.199981837873736,0.33259794204606286,0.4514246576125102,18.551856752258598,0.03958032044392166
83,30.8220239759446,-115.20491984454029,4.216944089206542,40.25403076165518,2.290409807312866,-0.9578883711782312,0.5002339738728079,5.211093646483719,0.5083607971712076,30.8220239759446,62.290184586732366,1.518010306026157,27.78167522046248,0.23972797663841647,0.8637775204559374,17.93341234898812,-0.17287536080268412
84,29.553852015005365,-112.07619168986783,4.450300603064712,40.00208178878792,1.2326029357393322,-0.6431793219545084,0.5953094831253012,5.130752935152307,0.5907815156337127,29.553852015005365,32.42553280105824,0.8479477732192674,38.30889888930618,0.2634515051131653,1.1141055145973215,5.254344111211639,-0.09866426391458462
85,27.203647999534205,-113.92579096471798,3.601963259204496,39.61645981977337,0.8752832321382754,-0.4895231975592138,2.1310636456978544,5.290582069404216,0.6171693351139969,27.203647999534205,18.94564266865597,1.3581834110281688,62.18559630260269,0.5538301535636975,0.35332261491786227,0.2493976590348449,-2.7397112249762947
86,26.049232825933153,-118.39293762765134,0.4059972100090281,42.186882669151544,1.8097670829680088,-1.1985528182297829,0.07524292131899227,4.380129204096361,4.46046482766063,26.049232825933153,29.02028351703919,1.0662963538563348,31.234284864706368,1.987022455484876,0.43704418510473747,0.5595316304663358,1.5501843075964066
87,27.73563824802204,-114.97121099010745,1.3440842099100974,42.909066904877534,1.6567031605827054,-1.3035751506428805,0.042122013508259164,3.734763183770016,2.5407215811677006,27.73563824802204,17.95853279884535,0.20393174160161792,47.303084301094906,2.0679582014902613,3.456908847701303,1.6353105115566335,-0.8250671405723717
88,26.23518758574727,-114.17636044001105,0.854681562368853,40.454617728102804,0.7294639304524712,-1.4342909523709717,0.2343551101306777,5.215955961538816,2.297377524662199,26.23518758574727,14.032580051623615,0.44366055901879886,184.33420381055353,1.2343670648281981,1.4471454956986325,0.4122889930530944,-0.6583633142906136
89,37.5012214728331,-118.8897641905225,6.950804077482321,42.39972556615424,1.1519323828079948,-1.1842951797455872,4.880809383620406,4.111844689543381,2.2233620948617876,37.5012214728331,15.290635956595766,0.8382893713671116,113.75620191662796,0.3436515991591551,0.9424434163176827,1.2953992963021455,2.086580979076248
